Source term EN	Target term	Number	Definition	Context
acetylcholinesterase	acetilcolinesterase	S		Following on from Munro's original work, Kroes et al. (2004) refined the TTC approach by creating two additional structural classes, one for substances with a structural alert for genotoxicity and another one for organophosphate and carbamate substances to cover substances with anti-acetylcholinesterase activity and by recommending the exclusion of certain types of substances (Kroes et al., 2004).
additives	aditivos	P	Every country has an agency that oversees food safety , defined as a “reasonable certainty of no harm,” and regulates what additives are allowed in food and what levels of unavoidable contaminants are acceptable 	However , as with most chemicals , food additives might give rise to adverse reactions in certain hypersensitive individuals .
aflatoxin	aflatoxina	S	The naturally occurring mycotoxins (aflatoxins) are considered to be carcinogenic, mutagenic, and teratogenic to humans.	The initial risk assessment by the Joint FAO/WHO Expert Committee on Food Additives ( JECFA ) resulted in the recommendation to take management actions to reduce aflatoxin intake amongst populations to the lowest levels possible.
agent	agente	S		Microbiological food contamination and associated foodborne diseases Climate related changes may impact all three elements of the epidemiologic triad (host, agent, and environment).
alkaline	alcalina	S		Malekpour et al. (Malekpour, & Ahmadi, 2017) modified A12O3 on the surface of Fe3O4 NPs to form SDS/A12O3/Fe3O4 composite with SDS under weak alkaline conditions, which was applied to the enrichment of formaldehyde and acetaldehyde in water.
allergens	alergénios	P		Further studies are necessary to investigate several aspects, from the possible presence of allergens to indirect transmission routes [...]
animal health	saúde animal	M		Risk assessments, protocols for use of veterinary drugs, pesticides, and/or establishment vaccination programmes will have to be re-assessed in view of the new challenges to animal health management derived from climatic variability.
antibiotic	antibiótico	S		For example, salmon production, which in EU provided about 1/3 of fish for human consumption, uses antifouling agents, antibiotics, and chemicals.
antimicrobial	antimicrobianos	S	antimicrobial drugs are used to treat human infections .	The early trials focused on the foodborne bacterial pathogens E. coli and Salmonella enterica Serovar Typhimurium; current trials are evaluating the foodborne pathogens Listeria monocytogenes and Campylobacter spp., and antimicrobial resistant Klebsiella.
bacillus biofilm	bacillus biofilme	S		Wirtanen , Husmark , and Matilla-Sandholm ( 1996 ) found that treatment of a 3-day old Bacillus biofilm with superheated water.
bacteria	bactérias	D	Therefore, FERG should consider to apply the same approach to CHERG+Walker data to make final estimates for the burden of multiple other pathogens (including bacteria, viruses and parasites) that are included in those studies, or to use this approach to validate other commissioned work.	The etiological agent of the disease could be determined for approximately 50% of the registered outbreaks, and involved mainly bacteria (Salmonella spp., followed by Staphylococcus spp. and E. coli).
biodegradation	biodegradação	S		Certain processes (hydrolysis, oxidation, biodegradation or photolysis) can generate new compounds present at greater concentrations in food than the parent pesticide itself and sometimes as toxic, or even more, than the parent compounds.
biofilm	biofilme	S		On the other hand, formation of biofilm on foods, instrument, and utensils and lack of new antibiotics being developed can also trigger the ability of the organism to resist the activity of antibiotics.
biomagnified	biomagnificação	S		Other selected compounds have been related to endocrine-disruption effects, or can be accumulated and biomagnified through the food chain.
biosensor	biossensor	S		Zhang et al. (Zhang, Wang, & Yang, 2011) prepared choline biosensor by immobilizing choline oxidase on gold electrode with chitosan modified Fe3O4 magnetic nanoparticles.
carcinogenic substances	substâncias carcinogénicas	P		However, despite its saturated nature, the use of CO as a cooking oil should not be encouraged, once it exhibits a low smoking point (171 degrees C) and its use in continuous deep-frying leads to the production of carcinogenic substances, such as polycyclic aromatic hydrocarbons and aromatic amines.
cardiovascular	cardiovascular	S		Severe cases can proceed to respiratory arrest and cardiovascular shock, the fatality rate being approximately 20% [ 11,12 ].
consumption	consumo	S		These hazards can arise at various stages of the food chain, from primary production to consumption, and climate change may have direct and indirect impacts on their occurrence.
contaminants	contaminantes	P		This is aggravated by the fact that the preparation of vended fruits is done without proper storage conditions, thereby exposing them to heat, flies, cockroaches, rodents, dust, pathogens, dirt, and other environmental contaminants.
contamination	contaminação	S	Extreme weather events such as floods and droughts may lead to contamination of soil, agricultural lands, water and food and animal feed with pathogens, chemicals and other hazardous substances, originating from sewage, agriculture and industrial settings.	Table 14: Factors reported as leading to the contamination of food vehicles in confirmed foodborne disease outbreaks, Australia, 2012, by aetiology
critical limits	limites críticos	P		Furthermore, the wash process is dynamic with no single metric that can be used for establishing critical limits and monitoring as a part of an overall food safety plan.
cross-contamination        	contaminação cruzada       	S		As a result there is a high potential for cross-contamination of the packaging material to occur.
dioxide	dióxido	S		It is metabolized by cytochrome P450 (CYP2E1) in the liver, the primary metabolite being carbon dioxide, whereas the key cytotoxic metabolite is cis-2-butene-1,4-dial , a reactive dialdehyde.
emulsifiers	emulsionantes	P		Compounded flavors also include flavor adjuvants such as solvents, emulsifiers, carriers, and preservatives that facilitate the function of the compounded flavors to impart the overall desired flavor perception.
enzymes	enzimas	P		Besides, magnetic nano-Fe3O4 also has superparamagnetism and good biocompatibility, which can well load enzymes, antibodies, proteins and other substances.
epidemic	epidemia	S		In Brazil , efforts in this initial stage of the epidemic have focused on confronting SARS-CoV-2 , especially avoiding its spread 6 while allowing healthcare for serious cases .
epidemiological	epidemiológicos	S		None of these early genomic epidemiological investigations were by themselves sufficient to definitively trace the origin of the Haiti outbreak to the prior outbreak in Nepal;
epidemiology	epidemiologia	M	Classical epidemiology: estimating the proportion of community gastroenteritis caused by norovirus (by age and region), and estimating the proportion foodborne using outbreak data and case-control studies;	In 2007, the WHO established the Foodborne Disease Burden Epidemiology Reference Group (FERG), a group of international experts who give recommendations to the WHO Director-General and to the Initiative.
European Food Safety Authority	Autoridade Europeia para a Segurança dos Alimentos	S	The three organizations that are accountable for food safety control in the EU are the Directorate General for Public Health and Consumer Protection, the Food and Veterinary Office, and the European Food Safety Authority.	On the other hand , the European Food Safety Authority (EFSA), which does not specify a limit for the ingestion of saturated fat, recommends that the intake of saturated fat should be as low as possible.
exposure	exposição	S	Chronic exposure, arguably the most important form of exposure, is subtle and the connection between cause and effect is difficult to substantiate so authorities move reluctantly.	Exposure of human populations to mycotoxins is not purely due to occurrence of mycotoxins in the food chain since the amount and type and quality of commodity consumed varies and choices can be made.
faecal contamination	contaminação fecal	S		The contamination could have occurred as a result of poor hygiene, faecal contaminatio , and environmental factors such as contaminated air.
fat content	teor de gordura      	S		Worth noting though is that the larvae stages of insects such as caterpillars generally contain the highest fat content compared to adult stages.
fecal	fecal	S		These serve as easy-to-detect surrogates, usually for the presence of pathogens associated with fecal contamination.
fertilizers	fertilizantes       	P		Fertilizers management should be oriented to natural methods and materials, using lower amounts of chemical substances.
