Source Term	Target Term*	Term Reference*	Notes (Term)	Language ID	Definition*	External cross reference (definition)*	Source (definition)*	Notes (Definition)	Part of speech*	Orthographic variant	Acronym	Abbreviation	Synonym	Quasi synonym	Context	External cross reference (context)	Source (context)	Scientific name	Common name	IATE ID (if available)	Domain*	Subdomain	Transaction (Concept)	Responsibility (Concept)	Name/Surname	Data
acceptable daily intake	допустима денна норма	https://bit.ly/3K6EPX5		UA	кількість певної речовини у їжі чи воді, визначена з урахуванням маси тіла (звичайно мг на кг ваги тіла), яка може щоденно споживатись протягом людського життя без видимого ризику для здоров'я	https://bit.ly/3K6EPX5	Вікіпедія: Допустима денна норма (ДДН)		іменне словосполучення			ДДН	допустима доза, денна норма, добова норма, рекомендована денна норма, рекомедована дієтична норма		Допустима денна норма є важливою величиною для оцінки можливостей використання в продуктах харчування різних хімічних добавок, а також дії залишків хімічних речовин, що використовуються в процесах вирощування рослин та тварин.	https://bit.ly/3vhNYbn	Глосарій термінів з хімії Й.Опейда, О.Швайка. Ін-т фізико-органічної хімії та вуглехімії ім. Л. М. Литвиненка НАН України			-	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
acetylcholinesterase	ацетилхолінестераза	https://bit.ly/3Oz2LWm		UA	білок, який кодується геном ACHE, розташованим у людини на довгому плечі 7-ї хромосоми	https://bit.ly/3Oz2LWm	Вікіпедія: Ацетилхолінестераза	фермент, який інактивує ацетилхолін шляхом гідролізу після його дисоціації з комплексом рецептора	іменник		АТPаза		естераза, ацетилхоліну ацетилгідролаза, ацетилхолін гідролаза		Хлорид магнію і гентаміцин нормалізують активність АТPаз і пригнічують вивільнення ацетилхоліну з клітини.	https://bit.ly/3rLxXrK	Український біохімічний журнал НАН. АЦЕТИЛХОЛІН­ЕСТЕРАЗА			1487488	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
active substance for pesticides	діюча речовина пестицидів	https://ips.ligazakon.net/document/TM001725		UA	біологічно активна складова частина пестициду та агрохімікату, яка забезпечує ефективність дії проти цільових об'єктів	https://ips.ligazakon.net/document/TM001725	Вебсайт: Liga 360. Діюча речовина пестициду	активний інгредієнт, який пригнічує хворобу або шкідника	іменне словосполучення						Залишкові кількості - це вміст діючої речовини пестицидів і агрохімікатів, їх похідні і продукти перетворення в живих системах (метаболіти) і у навколишньому природному середовищі.	https://zakon.rada.gov.ua/laws/show/86/95-%D0%B2%D1%80#Text	Вебсайт Верховної Ради України. ЗАКОН УКРАЇНИ  Про пестициди і агрохімікати			-	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
acute exposure	гостре отруєння	https://zakon.rada.gov.ua/laws/show/z0765-14#Text		UA	швидке порушення функцій чи ушкодження органів внаслідок дії отрути чи токсинів, що проникли в організм або утворилися в ньому	https://zakon.rada.gov.ua/laws/show/z0765-14#Text	Вебсайт Верховної Ради України. Порядок надання домедичної допомоги постраждалим при підозрі на гостре отруєння невідомою речовиною		іменне словосполучення				гостра інтоксикація		Після встановлення попереднього діагнозу в подальшому остаточна верифікація проводиться з використанням біохімічних, інструментальних, спектральних та інших методів ідентифікації токсичної речовини.	https://health-ua.com/article/5380-gostr-otrunnya-udtej	Вебсайт: Health-ua.com. Гострі отруєння у дітей			2142070	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
additives	харчові добавки	https://bit.ly/3LcDPCh		UA	природні, ідентичні природним або штучно синтезовані речовини, які додають у їжу як інгредієнт з технологічних міркувань: подовжити термін зберігання (консерванти), перетворити їжу в відношенні кольору, смаку, текстури, консистенції, зовнішнього вигляду	https://bit.ly/3LcDPCh	Вікіпедія: Харчові добавки		іменник				адитиви		До харчових добавок належать барвники, антиоксиданти, емульгатори, коригувальні речовини, речовини, які змінюють органолептичні властивості продуктів, але не мають біологічної активності.	https://www.pharmencyclopedia.com.ua/article/173/xarchovi-dobavki	Вебсайт: Фармацевтична енциклопедія. Харчові добавки			3548577	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
adequate intake	раціональне споживання поживних речовин	https://doctorthinking.org/2020/05/vitamin-b5/		UA	рекомендований середній добовий рівень споживання поживних речовин	https://doctorthinking.org/2020/05/vitamin-b5/	Вебсайт: DoctorThinking. Пантотенова кислота		іменне словосполучення				адекватне споживання поживних речовин		Раціональне споживання поживних речовин передбачається для забезпечення достатності харчових речовин і використовується, коли даних доказової медицини недостатньо для розрахунку рекомендованої дієтичної норми.	https://doctorthinking.org/2020/05/vitamin-b5/	Вебсайт: DoctorThinking. Пантотенова кислота			-	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
ADI	ДДН/Допустима Денна Норма	https://bit.ly/3K6EPX5		UA	кількість певної речовини у їжі чи воді, яка може щоденно споживатись протягом людського життя без ризику для здоров'я	https://bit.ly/3K6EPX5	Вікіпедія: Допустима денна норма (ДДН)		іменне словосполучення				допустима доза, денна норма, добова норма, рекомендована денна норма, рекомедована дієтична норма		ДДН нітратів для дорослої людини встановлено на рівні 5 мг/кг/добу, а для дітей раннього віку — 2,5 мг/кг/добу; ДДН для дітей молодших вікових груп становить: для дітей 6-12 місяців — 45 мг/добу, для дітей 1-3 років — 56,88 мг/ добу.	https://bit.ly/3K78gIr	Вебсайт: Черкаський обласний центр контролю та профілактики хвороб. Нітрати в ранніх овочах та їх вплив на організм людини			784304	FOOD	Food Safety			Олександра Сем'янів	23/04/2022
ADME	абсорбція, розподіл, перетворення та виведення	https://bit.ly/3vdahyB		UA	чотири процеси, які вивчає клінічна фармакокінетика, пов’язані з прийомом ліків або будь-якої хімічної речовини загалом	https://bit.ly/3vdahyB	Вікіпедія: Фармакокінетика		іменне словосполучення				абсорбція, розподіл, метаболізм та виведення; надходження, розподіл, біотрансформація та екскреція		Фармакокінетика — розділ фармакології, який вивчає абсорбцію, розподіл, перетворення лікарських засобів в організмі, виведення їх з організму, а також залежність ефективності та переносимості препаратів залежно від цих процесів.	https://bit.ly/3vdahyB	Вікіпедія: Фармакокінетика			290539	FOOD	Food Safety			Олександра Сем'янів	25/04/2022
adverse effect	побічна дія	https://bit.ly/37JlDkX		UA	будь-яке виявлення небажаного (іноді небезпечного для здоров'я пацієнта), що виникає у межах терапевтичних доз препарату (рекомендованих для лікування, діагностики, профілактики захворювань) або модифікації фізіологічних функцій	https://bit.ly/37JlDkX	Вікіпедія: Побічна дія		іменне словосполучення				побічний ефект, побічна реакція		Одним з видів побічної дії є мутагенна дія, тобто здатність викликати зміни спадкової інформації — мутації — в статевих і соматичних клітинах.	https://www.pharmencyclopedia.com.ua/article/857/pobichna-diya-likiv#list	Фармацевтична енциклопедія онлайн			35229958	FOOD	Food Safety			Олександра Сем'янів	25/04/2022
adverse outcome pathway	шлях несприятливого результату	http://medmat.pp.ua/17/292.html		UA	ланцюг подій, пов'язаних причинно-наслідковим зв'язком, які можуть призвести до шкідливих наслідків для організму	Glossary | EFSA (europa.eu)	Глосарій: Європейський орган з безпеки харчових продуктів		іменне словосполучення				шлях несприятливих наслідків, шлях несприятливого виходу		Добові інтервали дозування сальбутамолу змінені до 600 мкг упродовж 8 годин, починаючи з моменту прийому будь-якої дози. Це зроблено для того, щоб запобігти потенційному шляху несприятливого результату аналізу, що виникає після одночасного прийому високих доз.	https://nadc.org.ua/wp-content/uploads/2021/10/Perelik-osnovnyh-zmin-2022-1.pdf	Онлайн стаття: Заборонені речовини. World Anti-Doping agency (play true)			3568483	FOOD	Food Safety			Олександра Сем'янів	25/04/2022
