Term	Language ID	Definition	External cross reference (definition)	Note (definition)	Note (Term)	Part of speech	Grammatical gender	Grammatical number	Pronunciation	Etymology	Orthographic variant	Acronym	Full form	Abbreviation	Derivative	Collocation	Synonym	Quasi synonym	Hypernym	Hyponym	Context	External cross reference (context)	Register	Common name	Scientific name	Domain	Subdomain	Sub-subdomain
enfumer	fr	Enfumer signifie emplir de fumée, plonger dans la fumée.	https://www.le-dictionnaire.com/definition/enfumer	NA	Souvent utilisé comme synonyme de tourber pour le whisky	Verbe	NA	NA	\ɑ̃.fy.me\	xiie siècle. Dérivé de fumer.	NA	NA	NA	NA	NA	la tourbe enfume	tourber	emplir de fumée	plonger dans la fumée	aromatiser	L’orge placée au-dessus du four qui sera enfumée par la tourbe donnera aux whiskies un goût.	https://www.revesdewhisky.ch/WP_Extra/elaboration-dun-single-malt/	spécialisé /non spécialisé	enfumer	NA	œnologie	Autres boissons alcoliques	Whisky
alambic	fr	Un alambic est un appareil destiné à la séparation de produits par chauffage puis refroidissement (Distillation).	https://fr.wikipedia.org/wiki/Alambic	NA	NA	substantif	masculin	singulier	\alɑ ̃bik\	gr. α ́ μ β ι ξ, α ́ μ β ι χ ο ς	NA	NA	NA	NA	NA	Alambic de mesure du degré alcoolique du vin	NA	NA	appareil	alambic à double distillation	Généralement l'alambic à double distillation permet de séparer les esters, plus volatils et donnant un mauvais goût, de l'alcool éthylique. Avant l'invention de la double distillation, on parfumait les eaux-de-vie avec diverses substances (genièvre, anis...) à goût fort pour masquer le mauvais goût des esters. D'où la survivance de boissons telles le gin ou les anis. Pratiquer une double distillation se dit « cohober » dans le jargon des liquoristes, et le petit alambic qui y est destiné est appelé « cohobateur. »	https://fr.wikipedia.org/wiki/Alambic	spécialisé	alambic	alambic	œnologie	Autres boissons alcoliques	Whisky
céréale	fr	Une céréale est une plante cultivée principalement pour ses graines, utilisés en alimentation humaine et animale, souvent moulus sous forme de farine raffinée ou plus ou moins complète.	https://fr.wikipedia.org/wiki/C%C3%A9r%C3%A9ale	NA	NA	substantif	feminin	singulier	\seʀeal\	Empr. au lat. cerealis	NA	NA	NA	NA	NA	vins de céréales; mélange de céréales	NA	Graminées	plante	maïs; blé; riz; mils	Pour élaborer du Scotch Whisky, la recette est très simple mais le savoir-faire est fascinant. Seuls trois ingrédients sont nécessaires : des céréales, de la levure et de l’eau.	https://www.siredwards.com/la-fabrique-a-whisky/les-ingredients-du-whisky/les-cereales-du-whisky/?age-control=1	non spécialisé	céréale	NA	œnologie	Autres boissons alcoliques	Whisky
diluer	fr	Diluer signifie ajouter de l'eau au boissons.	https://www.whisky.fr/degustation-whisky/art-de-la-degustation	NA	NA	verbe	NA	NA	\dilɥe\	Empr. au lat. class.diluere	NA	NA	NA	NA	dilution	diluer le whisky; diluer avec de l'eau	NA	ajouter de l'eau	NA	NA	On peut diluer son whisky avec de l’eau. Les professionnels lorsqu’ils ont un grand nombre de whiskies à évaluer diluent leur whisky à 50%. Toutefois l’adjonction d’eau possède ses détracteurs. L’eau permet de faire ressortir les arômes mais elle tend également à l’uniformisation. L’adjonction d’eau a tendance à fluidifier le whisky modifiant du même coup sa texture. En réalité l’ajout d’eau est avant tout une affaire de goût et d’expérience. Les préparatifs enfin terminés, place à l’analyse sensorielle.	https://www.whisky.fr/degustation-whisky/art-de-la-degustation	non spécialisé	diluer	NA	œnologie	Autres boissons alcoliques	Whisky
distillation continue	fr	La distillation s'effectue en une seule passe, sans interruptions. Cette distillation nécessite un type d'alambic spécifique : l'alambic à colonne ou Coffey still qui fonctionne en continue et peut produire un distillat d'une très grande pureté, proche des 100% du volume. Cette distillation est particulièrement employée pour la production de whiskies de grain.	https://www.uisuki.com/fr/cc/distillation-whisky	NA	NA	syntagme nominal	feminin	singulier	\distilasjɔ ̃\; \kɔ ̃tiny\	Empr. au lat. médiév.distillatio; Empr. au lat. Continuus	NA	NA	NA	NA	NA	distillation continue de l'alcool	distillation en continue	NA	distillation	NA	Les améliorations techniques favorisent la production industrielle : en 1826, on invente en Irlande le système de distillation en continu de l’alcool de grain, c’est l’alambic à colonne (patent ou column still).	https://fr.wikipedia.org/wiki/Whisky#La_fermentation	spécialisé	distillation continue	distillation continue	œnologie	Autres boissons alcoliques	Whisky
distillation discontinue	fr	La distillation discontinue est la méthode utilisée par la plupart des producteurs de whiskies pour l'élaboration de leurs single malts. Elle consiste à double distiller le moût d'orge fermenté dans une paire d'alambics dits "à repasse".	https://www.uisuki.com/fr/cc/distillation-whisky	NA	synonyme de double distillation	syntagme nominal	feminin	singulier	\distilasjɔ ̃\; \diskɔ ̃tiny\	Empr. au lat. médiév.distillatio; Empr. au lat. médiév.discontinuus	NA	NA	NA	NA	NA	la méthode de la distillation discontinue	double distillation	NA	distillation	NA	En Ecosse, la distillation discontinue des single malts s'effectue généralement en deux temps. La bière, le wash, obtenue à l'issue de la fermentation, est tout d'abord acheminée vers un ou plusieurs alambics de grande taille baptisés wash stills. Ces derniers sont équipés de hublots qui permettent de contrôler l'ébullition à l'intérieur de l'alambic. 	https://www.whisky.fr/elaboration-du-whisky/alambics-et-distillation	spécialisé	distillation discontinue	distillation discontinue	œnologie	Autres boissons alcoliques	Whisky
distillerie	fr	Une distillerie est un lieu de fabrication de produits obtenus par distillation, essentiellement des eaux-de-vie et des parfums.	https://fr.wikipedia.org/wiki/Distillerie	NA	NA	substantif	feminin	singulier	\distilʀi\	Dér. du rad. de distiller	NA	NA	NA	NA	NA	distillerie de whisky	NA	NA	lieu de fabrication de boissons alcooliques	NA	Les alambics de la distillerie Metté, à Ribeauvillé en Alsace.	https://fr.wikipedia.org/wiki/Distillerie#Distillerie_de_whisky	spécialisé	distillerie	distillerie	œnologie	Autres boissons alcoliques	Whisky
adoucir	fr	Adoucir un whisky signifie le rendre plus doux au goût.	https://www.dictionnaire-academie.fr/article/A9A0595	NA	NA	verbe	NA	NA	\adusi:ʀ\	Dér. de doux	NA	NA	NA	NA	NA	adoucir le whisky	NA	rendre doux	NA	NA	Généralement, le whisky se déguste sec ou on the rocks, c’est à dire avec des glaçons. Il peut aussi se savourer avec du Cola, pour adoucir la boisson. Car oui, le whisky n'est pas vraiment considéré comme l'alcool le plus doux ou le plus sucré. 	https://www.cosmopolitan.fr/meilleures-recettes-cocktails-whisky,2033248.asp	non spécialisé	adoucir	NA	œnologie	Autres boissons alcoliques	Whisky
blé	fr	Blé est un terme générique qui désigne plusieurs céréales appartenant au genre Triticum. Ce sont des plantes annuelles de la famille des graminées ou Poacées, cultivées dans de très nombreux pays. Le mot « blé » désigne également le « grain » (caryopse) produit par ces plantes.	https://fr.wikipedia.org/wiki/Bl%C3%A9	NA	synonyme de froment	substantif	masculin	singulier	\ble\	De l’ancien bas francique blad	NA	NA	NA	NA	NA	varietée de blé	froment	NA	Graminée	blé à grain	Souvent utilisé pour des assemblages de blends, le whisky de grain est fabriqué à partir de diverses céréales telles que le blé, maïs, avoine ou seigle.	https://www.comptoir-irlandais.com/fr/675-single-grain	non spécialisé	froment	Triticum	œnologie	Autres boissons alcoliques	Whisky
maïs	fr	Le maïs est une plante herbacée tropicale annuelle de la famille des Poacées (graminées), largement cultivée comme céréale pour ses grains riches en amidon, mais aussi comme plante fourragère.	https://fr.wikipedia.org/wiki/Ma%C3%AFs	NA	NA	substantif	masculin	singulier	\mε\	Emprunté, par l’intermédiaire de l’espagnol maiz, du taïno (ancienne langue d’Haïti) mahiz.	NA	NA	NA	NA	NA	whisky de maïs	NA	NA	Graminée	NA	Le whisky de maïs de roduit à partir d'un moût fait d'au moins 80 % de maïs, distillé de manière à ne pas dépasser 80 pour cent d'alcool en volume, et vieilli pendant un temps limité en fûts de chêne de réemploi ou non traités pour le colorer grâce aux tannins naturels et réduire son âpreté.	https://fr.wikipedia.org/wiki/Whisky_de_ma%C3%AFs	non spécialisé	maïs	Zea mays	œnologie	Autres boissons alcoliques	Whisky
